ID,Age,Income,Gender,Score,Country,Income per Age
1,56.0,10.403292673018653,Male,6.6293632534374485,USA,0.18577308344676166
2,69.0,11.048538035310022,Male,6.584791392385716,Canada,0.16012373964217425
3,43.50097777777778,10.412711894935144,Female,6.5638555265321274,Canada,0.23936730682532883
4,32.0,11.06041695469908,Female,6.6240652277998935,UK,0.34563802983434627
5,60.0,10.541544766778113,Female,6.698268054115413,Canada,0.1756924127796352
6,25.0,11.15992945971583,Female,6.489204931325317,UK,0.4463971783886332
7,38.0,11.056998295851676,Female,6.608000625296087,Canada,0.29097363936451776
8,43.50097777777778,11.06041695469908,Male,6.625392368007956,UK,0.2542567436346047
9,43.50097777777778,12.788763013007543,Male,5.942799375126701,UK,0.29398794386503674
10,40.0,13.114411847616708,Male,5.799092654460526,UK,0.3278602961904177
11,28.0,9.989802853988047,Female,6.548219102762372,Canada,0.356778673356716
12,28.0,11.2818883412244,Female,6.725033642166843,UK,0.40292458361515715
13,41.0,12.552212287553523,Female,6.3473892096560105,UK,0.3061515192086225
14,43.50097777777778,10.848365741262196,Female,6.131226489483141,Canada,0.24938211266607485
15,57.0,11.235972298091433,Male,6.39024066706535,Canada,0.19712232101914795
16,43.50097777777778,10.48200920725477,Female,6.532334292222349,UK,0.24096031268082077
17,20.0,10.996651693630511,Male,6.472346294500901,Canada,0.5498325846815255
18,39.0,10.760389149066027,Female,6.218600119691729,USA,0.2759074140786161
19,19.0,11.06041695469908,Male,6.584791392385716,Canada,0.5821272081420569
20,41.0,11.077501024419007,Female,6.025865973825314,UK,0.2701829518150977
21,61.0,10.042727619627632,Male,6.727431724850855,USA,0.16463487901028906
22,47.0,10.211119300295529,Female,5.905361848054571,USA,0.21725785745309636
23,55.0,10.40511096553732,Male,6.1779441140506,Canada,0.18918383573704217
24,19.0,11.06041695469908,Male,6.326149473155099,UK,0.5821272081420569
25,43.50097777777778,10.258220612237519,Male,5.8805329864007,Canada,0.235815862913267
26,50.0,10.856380186854832,Female,6.023447592961033,USA,0.21712760373709664
27,43.50097777777778,10.917431172474902,Male,6.335054251498059,USA,0.25096978804122444
28,39.0,11.06041695469908,Male,6.068425588244111,Canada,0.2836004347358739
29,61.0,11.06041695469908,Male,6.697034247666484,USA,0.18131831073277183
30,42.0,10.504683904348164,Female,6.519147287940395,USA,0.25011152153209915
31,43.50097777777778,12.75921035308178,Female,5.863631175598097,UK,0.29330858764282186
32,44.0,10.96266577195883,Female,6.0473721790462776,UK,0.24915149481724616
33,59.0,11.06041695469908,Female,3.58351893845611,Canada,0.18746469414744205
34,45.0,10.445026651458063,Male,6.5337888379333435,USA,0.23211170336573472
35,43.50097777777778,10.962596421426538,Female,6.6293632534374485,Canada,0.2520080462887139
36,32.0,10.07285050816569,Male,6.52795791762255,UK,0.3147765783801778
37,64.0,11.07356742583888,Female,6.576469569048224,USA,0.1730244910287325
38,68.0,10.732541427456502,Female,6.618738983517219,USA,0.15783149158024268
39,61.0,10.930102460696988,Female,6.131226489483141,Canada,0.17918200755240965
40,43.50097777777778,11.219413095989136,Female,6.452048954437226,UK,0.2579117451865762
41,20.0,11.06041695469908,Female,6.429719478039138,UK,0.5530208477349541
42,43.50097777777778,11.17540868300142,Male,6.508769136971682,UK,0.25690017222349226
